Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D7.0mm_W2.5mm_P5.00mm,1,1uF,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D2,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4001,
D3,LED_D5.0mm_FlatTop,1,LED1,
D4,LED_D5.0mm_FlatTop,1,LED2,
D5,LED_D5.0mm_FlatTop,1,LED3,
D6,LED_D5.0mm_FlatTop,1,LED4,
D7,LED_D5.0mm_FlatTop,1,LED5,
"H1, H2, H3, H4, H5",MountingHole_3.2mm_M3_Pad,5,MountingHole_Pad,
J1,"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",1,lineOutHeader,
J3,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,midiHeader,
J4,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1,powerHeader,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,WCLK3.6,
JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,WCLK4.1,
JP3,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,DIN3.6,
JP4,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,DIN4.1,
JP5,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,BCLK3.6,
JP6,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,BCLK4.1,
"Q1, Q2, Q3, Q4, Q5",TO-92_Inline,5,2N3904,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220R,
"R10, R12, R2, R3, R6, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,470R,
"R11, R4, R5, R7, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,10k,
RV10,alphaPot_Centred,1,volPot,
RV11,alphaPot_Centred,1,bendPot,
RV12,R0904N_newholes,1,cWaveKnob,
RV13,alphaPot_Centred,1,bTunePot,
RV14,alphaPot_Centred,1,cTunePot,
RV15,R0904N_newholes,1,modKnob,
RV16,alphaPot_Centred,1,subVolPot,
RV17,alphaPot_Centred,1,aVolPot,
RV18,alphaPot_Centred,1,bVolPot,
RV19,alphaPot_Centred,1,cVolPot,
RV20,alphaPot_Centred,1,filterFpot,
RV21,alphaPot_Centred,1,filterResPot,
RV22,R0904N_newholes,1,fAttknob,
RV23,R0904N_newholes,1,fReleaseKnob,
RV24,alphaPot_Centred,1,filterEnvAmtPot,
RV25,alphaPot_Centred,1,attPot,
RV26,alphaPot_Centred,1,decPot,
RV27,alphaPot_Centred,1,susPot,
RV28,alphaPot_Centred,1,lfoADepthPot,
RV29,alphaPot_Centred,1,lfoAFreqPot,
RV3,R0904N_newholes,1,presetKnob,
RV30,R0904N_newholes,1,lfoADecKnob,
RV31,R0904N_newholes,1,lfoAAttKnob,
RV4,R0904N_newholes,1,revMixKnob,
RV5,R0904N_newholes,1,revSizeKnob,
RV6,R0904N_newholes,1,dlyTimeKnob,
RV7,R0904N_newholes,1,dlyMixKnob,
RV8,R0904N_newholes,1,lfoBRateKnob,
RV9,R0904N_newholes,1,lfoBDepthKnob,
SW10,pushButtonEuro,1,reset,
SW11,pushButtonEuro,1,save,
SW2,miniToggle,1,shapeA,
SW3,miniToggle,1,shapeB,
SW4,miniToggle,1,mainOctave,
SW5,miniToggle,1,octB,
SW6,miniToggle,1,octC,
SW7,miniToggle,1,filterMode,
SW8,miniToggle,1,LFOdest,
SW9,miniToggle,1,LFOShape,
"U2, U3, U4, U6",DIP-16_W7.62mm,4,74HC4051,
U5,DIP-8_W7.62mm,1,6N138,
U7,1334ABreakout,1,~,
U8,Converter_DCDC_TRACO_TSR-1_THT,1,TSR_1-2450,
U9,Teensy41,1,Teensy4.1,
