Designator,Mid X,Mid Y,Rotation,Layer
C1,161.29,-231.18,270.0,top
D1,175.768,-229.87,270.0,top
D2,146.05,-237.49,180.0,top
D3,430.53,-254.0,0.0,top
D4,430.53,-266.7,0.0,top
D5,430.53,-279.4,0.0,top
D6,430.53,-292.1,0.0,top
D7,430.53,-304.8,0.0,top
J1,344.17,-229.87,270.0,bottom
J3,165.1,-232.41,0.0,bottom
J4,132.08,-228.6,0.0,bottom
Q1,424.18,-254.0,0.0,top
Q2,424.18,-266.7,0.0,top
Q3,424.18,-279.4,0.0,top
Q4,424.18,-292.1,0.0,top
Q5,424.18,-304.8,0.0,top
R1,166.624,-224.79,0.0,top
R10,438.15,-295.91,90.0,top
R11,425.45,-298.45,180.0,top
R12,438.15,-308.61,90.0,top
R2,210.82,-242.57,0.0,top
R3,438.15,-257.81,90.0,top
R4,425.45,-247.65,180.0,top
R5,425.45,-260.35,180.0,top
R6,438.15,-270.51,90.0,top
R7,425.45,-273.05,180.0,top
R8,438.15,-283.21,90.0,top
R9,425.45,-285.75,180.0,top
RV10,101.6,-254.0,90.0,top
RV11,101.6,-279.4,90.0,top
RV12,127.0,-304.8,0.0,top
RV13,177.8,-279.4,90.0,top
RV14,177.8,-304.8,90.0,top
RV15,152.4,-254.0,0.0,top
RV16,177.8,-254.0,90.0,top
RV17,203.2,-254.0,90.0,top
RV18,203.2,-279.4,90.0,top
RV19,203.2,-304.8,90.0,top
RV20,228.6,-254.0,90.0,top
RV21,228.6,-279.4,90.0,top
RV22,254.0,-254.0,0.0,top
RV23,254.0,-279.4,0.0,top
RV24,254.0,-304.8,90.0,top
RV25,279.4,-254.0,90.0,top
RV26,279.4,-279.4,90.0,top
RV27,279.4,-304.8,90.0,top
RV28,304.8,-279.4,90.0,top
RV29,304.8,-254.0,90.0,top
RV3,406.4,-254.0,0.0,top
RV30,330.2,-279.4,0.0,top
RV31,330.2,-254.0,0.0,top
RV4,381.0,-279.4,0.0,top
RV5,355.6,-279.4,0.0,top
RV6,355.6,-304.8,0.0,top
RV7,381.0,-304.8,0.0,top
RV8,355.6,-254.0,0.0,top
RV9,381.0,-254.0,0.0,top
SW10,406.4,-304.8,0.0,top
SW11,406.4,-279.4,0.0,top
SW2,127.0,-254.0,0.0,top
SW3,127.0,-279.4,0.0,top
SW4,101.6,-304.8,0.0,top
SW5,152.4,-279.4,0.0,top
SW6,152.4,-304.8,0.0,top
SW7,228.6,-304.8,0.0,top
SW8,330.2,-304.8,0.0,top
SW9,304.8,-304.8,0.0,top
U2,295.91,-293.37,180.0,top
U3,143.51,-292.1,180.0,top
U4,245.11,-292.1,180.0,top
U5,192.014,-233.436,270.0,top
U6,372.11,-292.1,180.0,top
U7,302.26,-229.87,0.0,bottom
U8,148.59,-227.33,0.0,bottom
U9,251.46,-231.14,0.0,bottom
